FEATURE,FEATURE2,NAME,POP 2010,COUNTY,COUNTY FIPS,STATE,STATE FIPS,LATITUDE,LONGITUDE
Populated Place,-999,Mesa,-999,Adams,003,ID,16,44.628776,-116.4507007
Populated Place,-999,Chilly,-999,Custer,037,ID,16,44.0776943,-113.8789247
Populated Place,-999,Humphrey,-999,Clark,033,ID,16,44.4882465,-112.2336082
Populated Place,-999,Montour,-999,Gem,045,ID,16,43.9248889,-116.3287411
Populated Place,-999,Turner,-999,Caribou,029,ID,16,42.5765864,-111.8188426
Populated Place,-999,Henry,-999,Caribou,029,ID,16,42.9068636,-111.5307804
Populated Place,-999,Fish Haven,-999,Bear Lake,007,ID,16,42.0368759,-111.3963177
Civil,-999,Kent,-999,Litchfield,005,CT,09,41.7248164,-73.4770682
Civil,-999,Farmington,-999,Hartford,003,CT,09,41.7198216,-72.8320435
Civil,-999,Andover,-999,Tolland,013,CT,09,41.7373212,-72.37036
Populated Place,-999,Lyons Plain,-999,Fairfield,001,CT,09,41.225096,-73.3462295
Civil,-999,Seymour,-999,New Haven,009,CT,09,41.3967634,-73.0759416
Civil,-999,Southbury,-999,New Haven,009,CT,09,41.4814848,-73.2131693
Civil,-999,Wolcott,-999,New Haven,009,CT,09,41.6023196,-72.9867718
Populated Place,-999,Massadona,-999,Moffat,081,CO,08,40.2527481,-108.640381
Populated Place,-999,Wallstreet,-999,Boulder,013,CO,08,40.0388749,-105.3908274
Populated Place,-999,Dupont,-999,Adams,001,CO,08,39.8380416,-104.911922
Populated Place,-999,Buffalo Creek,-999,Jefferson,059,CO,08,39.3866559,-105.2702714
Populated Place,-999,Fairfax,-999,New Castle,003,DE,10,39.7865016,-75.5432564
Populated Place,-999,Greenbrae,-999,Marin,041,CA,06,37.9485354,-122.5246979
Populated Place,-999,Walnut Heights,-999,Contra Costa,013,CA,06,37.8765916,-122.0510736
Populated Place,-999,Vigil,-999,Las Animas,071,CO,08,37.1611305,-104.9416651
Populated Place,-999,Gulnare,-999,Las Animas,071,CO,08,37.3172387,-104.7519341
Populated Place,-999,Deora,-999,Baca,009,CO,08,37.5802899,-102.9665924
Populated Place,-999,Kingston,-999,Madison,087,AR,05,36.0506315,-93.5185199
Populated Place,-999,Marble,-999,Madison,087,AR,05,36.1397966,-93.587411
Populated Place,-999,Hinkley,-999,San Bernardino,071,CA,06,34.9347025,-117.1992124
Populated Place,-999,Yermo,-999,San Bernardino,071,CA,06,34.9049849,-116.8203127
Populated Place,-999,Hattieville,-999,Conway,029,AR,05,35.2875814,-92.7868322
Populated Place,-999,Lakemont,-999,Rabun,241,GA,13,34.7820378,-83.4162755
Populated Place,-999,Cooper Heights,-999,Walker,295,GA,13,34.8073003,-85.3891263
Populated Place,-999,Flint City,-999,Morgan,103,AL,01,34.5231491,-86.9702859
Populated Place,-999,Chestnut Mountain,-999,Hall,139,GA,13,34.1726039,-83.8379544
Populated Place,-999,Lono,-999,Hot Spring,059,AR,05,34.2081515,-92.7101637
Populated Place,-999,Clarkdale,-999,Cobb,067,GA,13,33.8309387,-84.6496565
Populated Place,-999,Floyd,-999,Cobb,067,GA,13,33.8470493,-84.5854887
Populated Place,-999,Sunflower,-999,Maricopa,013,AZ,04,33.8642086,-111.4676349
Populated Place,-999,Jenifer,-999,Talladega,121,AL,01,33.5492723,-85.9363559
Populated Place,-999,Kofa,-999,Yuma,027,AZ,04,32.8819899,-113.6465878
Populated Place,-999,Piedmont,-999,Lamar,171,GA,13,33.0170716,-84.250752
Populated Place,-999,Clinton,-999,Greene,063,AL,01,32.9137387,-87.992518
Populated Place,-999,Knoxville,-999,Greene,063,AL,01,32.9923471,-87.7905674
Populated Place,-999,Lomax,-999,Chilton,021,AL,01,32.8790138,-86.6608162
Populated Place,-999,Topeka Junction,-999,Upson,293,GA,13,32.9745741,-84.208528
Populated Place,-999,Bleecker,-999,Lee,081,AL,01,32.5823594,-85.1641056
Populated Place,-999,Grovania,-999,Houston,153,GA,13,32.3659888,-83.6632351
Populated Place,-999,Pineora,-999,Effingham,103,GA,13,32.2868638,-81.3915003
Populated Place,-999,Highland Home,-999,Crenshaw,041,AL,01,31.9534835,-86.3138546
Populated Place,-999,Chula,-999,Tift,277,GA,13,31.5496278,-83.5473875
Populated Place,-999,Dixie Union,-999,Ware,299,GA,13,31.3393777,-82.4631908
Populated Place,-999,Axson,-999,Atkinson,003,GA,13,31.2763162,-82.7343089
Populated Place,-999,Winokur,-999,Charlton,049,GA,13,31.0382836,-82.0201167
Populated Place,-999,Southport,-999,Bay,005,FL,12,30.2893655,-85.6404834
Populated Place,-999,Doctors Inlet,-999,Clay,019,FL,12,30.1002403,-81.7762083
Populated Place,-999,Santos,-999,Marion,083,FL,12,29.1091452,-82.0928676
Populated Place,-999,Saint Catherine,-999,Sumter,119,FL,12,28.6102718,-82.1381407
Populated Place,-999,Verna,-999,Manatee,081,FL,12,27.3872659,-82.2681466
Populated Place,-999,Hacienda Village,-999,Broward,011,FL,12,26.0853655,-80.2011583
Populated Place,-999,Perrine,-999,Miami-Dade,086,FL,12,25.6051055,-80.3536645
